"Label (Grouping)","Population 18 to 24 years","Less than high school graduate","High school graduate (includes equivalency)","Some college or associate's degree","Bachelor's degree or higher","Population 25 years and over","Less than 9th grade","9th to 12th grade, no diploma","High school graduate (includes equivalency)","Some college, no degree","Associate's degree","Bachelor's degree","Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","High school graduate or higher","Bachelor's degree or higher","Population 35 to 44 years","High school graduate or higher","Bachelor's degree or higher","Population 45 to 64 years","High school graduate or higher","Bachelor's degree or higher","Population 65 years and over","High school graduate or higher","Bachelor's degree or higher"
"        Estimate","2,858","39.0%","31.0%","29.1%","0.9%","22,304","14.4%","17.7%","35.0%","17.6%","4.6%","6.6%","4.2%","67.9%","10.8%","4,808","63.5%","8.9%","4,675","77.2%","8.8%","8,780","72.6%","12.9%","4,041","52.4%","10.5%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,644","29.4%","35.3%","31.6%","3.7%","24,010","14.0%","17.8%","32.7%","16.3%","8.2%","5.9%","5.2%","68.3%","11.1%","4,608","72.2%","14.2%","4,440","79.1%","14.6%","9,436","69.8%","10.4%","5,526","53.8%","6.6%"
"Elmore County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,127","30.8%","37.0%","28.3%","3.9%","51,758","5.0%","11.2%","35.2%","21.9%","6.5%","13.3%","6.9%","83.8%","20.2%","10,386","85.4%","19.2%","11,716","88.4%","20.6%","20,770","84.9%","21.6%","8,886","73.4%","17.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,797","34.9%","41.2%","21.8%","2.1%","24,904","5.8%","11.9%","35.9%","19.9%","5.9%","13.5%","7.1%","82.2%","20.6%","5,137","81.3%","14.7%","5,618","85.6%","20.2%","10,181","83.2%","23.2%","3,968","76.2%","22.1%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,330","26.1%","32.2%","35.7%","6.0%","26,854","4.1%","10.6%","34.6%","23.8%","7.0%","13.1%","6.8%","85.3%","19.9%","5,249","89.3%","23.7%","6,098","91.0%","21.0%","10,589","86.5%","20.2%","4,918","71.1%","13.9%"
"Escambia County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,174","34.0%","34.2%","30.7%","1.0%","25,907","8.4%","18.6%","35.3%","18.4%","8.4%","7.4%","3.6%","73.0%","10.9%","5,066","67.5%","9.6%","5,110","77.4%","9.1%","10,176","77.1%","14.3%","5,555","66.2%","7.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,754","41.1%","34.4%","23.4%","1.0%","13,343","10.3%","22.8%","35.7%","15.2%","6.5%","6.5%","3.0%","67.0%","9.5%","2,884","55.2%","8.1%","2,896","70.7%","7.3%","5,190","72.4%","12.3%","2,373","64.7%","7.8%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,420","25.1%","34.0%","39.8%","1.1%","12,564","6.5%","14.1%","34.8%","21.7%","10.5%","8.3%","4.1%","79.4%","12.4%","2,182","83.9%","11.4%","2,214","86.1%","11.6%","4,986","82.0%","16.4%","3,182","67.4%","7.5%"
"Etowah County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8,840","28.1%","32.7%","34.1%","5.0%","71,016","6.3%","12.5%","33.2%","24.4%","7.8%","9.9%","5.9%","81.2%","15.8%","12,305","84.8%","19.2%","14,087","82.8%","17.4%","28,409","85.6%","16.9%","16,215","69.3%","10.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,487","28.4%","38.9%","29.7%","3.0%","33,259","6.5%","12.2%","33.7%","24.5%","6.9%","10.5%","5.7%","81.3%","16.2%","6,002","82.7%","17.5%","6,926","79.8%","17.0%","13,685","84.1%","16.5%","6,646","75.7%","13.6%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,353","27.8%","26.4%","38.7%","7.1%","37,757","6.1%","12.8%","32.8%","24.3%","8.6%","9.4%","6.1%","81.1%","15.5%","6,303","86.9%","20.9%","7,161","85.7%","17.8%","14,724","86.9%","17.2%","9,569","65.0%","7.4%"
"Fayette County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,442","11.1%","46.7%","37.2%","5.0%","12,082","11.2%","14.1%","37.6%","20.4%","7.2%","5.7%","3.7%","74.7%","9.5%","1,765","73.9%","3.3%","2,077","85.3%","10.0%","5,101","81.1%","14.3%","3,139","57.8%","4.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","763","12.1%","48.2%","36.8%","2.9%","5,702","10.9%","13.0%","42.7%","18.5%","6.6%","5.5%","2.9%","76.1%","8.4%","888","77.9%","1.5%","1,015","85.5%","8.3%","2,441","77.3%","12.0%","1,358","65.9%","6.5%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","679","10.0%","44.9%","37.7%","7.4%","6,380","11.6%","15.0%","33.1%","22.1%","7.8%","5.9%","4.5%","73.4%","10.4%","877","69.9%","5.2%","1,062","85.1%","11.7%","2,660","84.5%","16.3%","1,781","51.5%","3.4%"
"Franklin County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,776","32.1%","30.7%","35.0%","2.2%","20,876","12.5%","17.9%","32.2%","18.7%","7.0%","7.6%","4.2%","69.6%","11.8%","3,654","64.6%","8.8%","4,633","75.0%","12.6%","7,934","76.9%","14.6%","4,655","55.6%","8.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,598","40.0%","30.3%","27.7%","2.0%","10,026","12.2%","18.6%","31.5%","21.2%","5.4%","7.3%","3.8%","69.2%","11.1%","1,809","63.5%","4.6%","2,275","73.1%","10.9%","3,956","73.3%","12.7%","1,986","61.8%","14.2%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,178","21.5%","31.2%","44.9%","2.5%","10,850","12.9%","17.2%","32.8%","16.4%","8.4%","7.8%","4.5%","69.9%","12.3%","1,845","65.6%","13.0%","2,358","76.8%","14.4%","3,978","80.5%","16.5%","2,669","51.0%","3.8%"
"Geneva County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,258","34.4%","35.3%","26.7%","3.5%","18,274","10.3%","17.4%","37.5%","19.5%","7.3%","5.1%","2.9%","72.3%","8.0%","2,721","81.4%","8.6%","3,456","80.2%","13.2%","7,525","74.4%","6.9%","4,572","57.5%","5.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,118","36.9%","41.1%","20.4%","1.6%","8,722","11.0%","15.0%","42.1%","19.7%","5.6%","4.0%","2.6%","74.0%","6.6%","1,403","79.6%","7.7%","1,626","79.3%","8.9%","3,756","73.2%","6.6%","1,937","66.9%","4.0%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,140","31.9%","29.7%","33.0%","5.4%","9,552","9.6%","19.5%","33.2%","19.4%","8.9%","6.1%","3.2%","70.8%","9.3%","1,318","83.4%","9.6%","1,830","81.0%","17.0%","3,769","75.6%","7.3%","2,635","50.6%","6.7%"
"Greene County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","821","22.2%","49.8%","26.6%","1.5%","6,088","11.6%","15.9%","36.9%","20.7%","5.0%","5.3%","4.7%","72.6%","9.9%","912","75.1%","4.3%","1,013","88.9%","7.0%","2,734","76.6%","12.1%","1,429","51.7%","11.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","460","30.7%","55.2%","14.1%","0.0%","2,735","12.8%","15.1%","47.0%","20.4%","1.5%","2.1%","1.1%","72.1%","3.2%","390","78.2%","2.6%","459","93.0%","5.4%","1,264","74.7%","3.2%","622","47.6%","2.1%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","361","11.4%","42.9%","42.4%","3.3%","3,353","10.6%","16.5%","28.6%","21.0%","7.9%","7.8%","7.6%","72.9%","15.4%","522","72.8%","5.6%","554","85.6%","8.3%","1,470","78.2%","19.8%","807","54.9%","18.7%"
"Hale County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,424","36.5%","33.1%","28.5%","1.9%","10,552","7.8%","22.2%","34.2%","20.2%","5.6%","5.9%","4.1%","69.9%","10.0%","1,818","61.9%","7.5%","1,961","84.0%","11.0%","4,480","77.5%","11.4%","2,293","49.5%","8.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","722","41.7%","19.3%","39.1%","0.0%","4,918","8.2%","21.5%","37.2%","19.9%","4.2%","5.6%","3.4%","70.3%","8.9%","872","55.0%","2.6%","915","89.1%","13.6%","2,179","75.2%","8.5%","952","55.3%","11.3%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","702","31.2%","47.3%","17.7%","3.8%","5,634","7.5%","22.9%","31.5%","20.4%","6.9%","6.1%","4.7%","69.6%","10.8%","946","68.2%","11.9%","1,046","79.5%","8.8%","2,301","79.7%","14.1%","1,341","45.5%","6.0%"
"Henry County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,340","24.5%","28.8%","43.0%","3.7%","11,969","8.3%","15.6%","37.9%","17.2%","6.0%","8.8%","6.2%","76.1%","15.0%","1,807","77.3%","17.8%","2,208","88.2%","17.4%","4,974","76.7%","16.5%","2,980","65.4%","9.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","648","36.3%","24.4%","39.4%","0.0%","5,579","9.0%","16.8%","39.7%","16.6%","4.6%","10.3%","3.0%","74.2%","13.4%","879","68.6%","8.9%","1,081","85.2%","15.2%","2,357","74.5%","16.2%","1,262","68.0%","9.7%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","692","13.4%","32.9%","46.4%","7.2%","6,390","7.7%","14.5%","36.3%","17.7%","7.3%","7.5%","8.9%","77.8%","16.4%","928","85.6%","26.3%","1,127","91.1%","19.5%","2,617","78.6%","16.9%","1,718","63.6%","8.4%"
"Houston County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8,280","23.4%","42.2%","29.6%","4.8%","66,161","6.0%","12.1%","33.2%","21.6%","8.1%","12.1%","6.8%","81.9%","19.0%","12,584","83.9%","18.3%","13,392","87.4%","22.6%","26,412","84.5%","20.8%","13,773","69.9%","12.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,047","28.1%","40.6%","28.2%","3.1%","30,827","6.7%","11.4%","33.5%","21.3%","6.9%","13.2%","7.2%","81.9%","20.3%","5,956","82.7%","15.4%","6,490","86.9%","22.3%","12,645","83.1%","23.1%","5,736","73.1%","17.1%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,233","19.0%","43.7%","30.9%","6.4%","35,334","5.4%","12.7%","33.1%","21.9%","9.2%","11.2%","6.6%","81.9%","17.8%","6,628","84.9%","20.8%","6,902","88.0%","22.9%","13,767","85.9%","18.7%","8,037","67.6%","9.2%"
"Jackson County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,134","27.5%","34.3%","34.4%","3.8%","36,997","10.1%","15.9%","36.4%","19.6%","6.0%","7.4%","4.6%","74.0%","12.0%","6,150","83.0%","14.7%","7,109","79.9%","11.7%","15,400","75.8%","12.6%","8,338","59.0%","9.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,060","33.3%","38.6%","25.7%","2.3%","17,855","10.7%","15.6%","37.8%","18.4%","5.2%","7.7%","4.4%","73.6%","12.2%","3,113","82.7%","12.7%","3,566","77.8%","9.7%","7,528","72.9%","13.0%","3,648","63.3%","12.3%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,074","21.7%","29.9%","43.1%","5.4%","19,142","9.5%","16.0%","35.0%","20.8%","6.9%","7.0%","4.8%","74.4%","11.8%","3,037","83.4%","16.8%","3,543","82.0%","13.6%","7,872","78.7%","12.3%","4,690","55.7%","6.4%"
"Jefferson County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","64,488","18.8%","29.5%","40.8%","10.9%","436,589","4.0%","9.5%","28.1%","22.7%","7.0%","18.1%","10.7%","86.6%","28.8%","92,404","87.9%","34.4%","86,295","90.3%","32.6%","172,395","89.9%","28.8%","85,495","74.6%","18.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","31,429","24.6%","30.7%","36.7%","8.0%","200,115","4.5%","9.9%","28.5%","21.6%","6.1%","18.4%","11.0%","85.6%","29.4%","44,257","86.6%","30.8%","41,517","88.4%","30.8%","80,905","88.0%","29.4%","33,436","75.1%","25.9%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","33,059","13.3%","28.3%","44.7%","13.6%","236,474","3.5%","9.1%","27.8%","23.6%","7.7%","17.8%","10.4%","87.4%","28.2%","48,147","89.2%","37.7%","44,778","92.1%","34.3%","91,490","91.5%","28.3%","52,059","74.3%","14.2%"
"Lamar County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,096","40.9%","34.5%","21.4%","3.3%","10,283","8.6%","16.1%","41.5%","19.2%","5.2%","6.0%","3.3%","75.3%","9.2%","1,557","80.2%","14.5%","1,857","76.7%","8.6%","4,212","81.8%","9.2%","2,657","61.0%","6.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","592","52.0%","29.4%","15.4%","3.2%","4,851","6.6%","18.5%","44.9%","17.4%","5.7%","4.0%","2.9%","74.9%","6.9%","769","70.1%","6.9%","886","79.2%","5.9%","2,090","81.3%","7.2%","1,106","62.8%","7.1%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","504","27.8%","40.5%","28.4%","3.4%","5,432","10.5%","14.0%","38.5%","20.9%","4.8%","7.7%","3.6%","75.6%","11.3%","788","90.0%","21.8%","971","74.4%","11.1%","2,122","82.3%","11.1%","1,551","59.8%","6.5%"
"Lauderdale County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,823","15.8%","29.5%","49.2%","5.5%","61,976","5.5%","11.6%","34.0%","21.0%","6.5%","13.6%","7.9%","82.9%","21.5%","10,439","86.5%","22.5%","11,800","86.6%","23.2%","24,682","86.8%","23.2%","15,055","71.2%","16.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,750","17.7%","30.2%","47.3%","4.8%","29,101","5.7%","11.1%","35.1%","20.3%","5.5%","14.3%","7.9%","83.2%","22.2%","5,212","85.7%","19.9%","5,784","85.5%","19.9%","11,780","84.1%","23.7%","6,325","77.4%","23.7%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,073","13.9%","28.8%","51.1%","6.3%","32,875","5.3%","12.0%","33.0%","21.6%","7.3%","13.0%","7.8%","82.7%","20.8%","5,227","87.3%","25.2%","6,016","87.6%","26.5%","12,902","89.4%","22.9%","8,730","66.7%","11.3%"
"Lawrence County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,999","24.0%","37.2%","36.7%","2.0%","23,169","8.5%","16.3%","39.2%","18.1%","7.3%","7.4%","3.3%","75.2%","10.7%","3,827","83.7%","16.5%","5,094","78.6%","12.3%","9,553","76.5%","10.3%","4,695","61.8%","4.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,601","24.9%","43.8%","30.2%","1.1%","11,062","8.8%","14.8%","42.7%","18.5%","4.7%","7.3%","3.1%","76.3%","10.5%","1,929","79.5%","16.5%","2,462","81.1%","7.6%","4,607","77.7%","11.7%","2,064","64.8%","5.4%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,398","23.0%","29.8%","44.2%","3.1%","12,107","8.3%","17.6%","35.9%","17.7%","9.6%","7.5%","3.4%","74.1%","10.9%","1,898","88.0%","16.5%","2,632","76.4%","16.8%","4,946","75.5%","9.0%","2,631","59.4%","4.5%"
