"Label (Grouping)","Population 18 to 24 years","Less than high school graduate","High school graduate (includes equivalency)","Some college or associate's degree","Bachelor's degree or higher","Population 25 years and over","Population 25 years and over!!Less than 9th grade","Population 25 years and over!!9th to 12th grade, no diploma","Population 25 years and over!!High school graduate (includes equivalency)","Population 25 years and over!!Some college, no degree","Population 25 years and over!!Associate's degree","Population 25 years and over!!Bachelor's degree","Population 25 years and over!!Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","Population 25 to 34 years!!High school graduate or higher","Population 25 to 34 years!!Bachelor's degree or higher","Population 35 to 44 years","Population 35 to 44 years!!High school graduate or higher","Population 35 to 44 years!!Bachelor's degree or higher","Population 45 to 64 years","Population 45 to 64 years!!High school graduate or higher","Population 45 to 64 years!!Bachelor's degree or higher","Population 65 years and over","Population 65 years and over!!High school graduate or higher","Population 65 years and over!!Bachelor's degree or higher"
"        Estimate","2,150","16.6%","35.4%","46.6%","1.4%","15,385","5.5%","16.8%","33.8%","20.7%","7.4%","9.3%","6.6%","77.7%","15.9%","2,711","78.3%","10.5%","2,651","86.5%","21.0%","6,318","79.9%","16.4%","3,705","67.3%","15.3%"
"DeKalb County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,138","24.4%","32.0%","40.5%","3.1%","47,081","11.6%","15.2%","34.9%","18.5%","8.5%","6.7%","4.6%","73.1%","11.3%","8,591","74.5%","10.1%","9,351","75.8%","11.6%","18,725","76.9%","12.5%","10,414","62.8%","10.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,160","30.2%","30.7%","36.9%","2.2%","22,830","12.5%","16.6%","35.3%","18.5%","7.0%","6.6%","3.7%","71.0%","10.2%","4,241","71.4%","8.7%","4,786","70.0%","9.2%","9,218","74.4%","11.1%","4,585","64.7%","10.9%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,978","18.2%","33.4%","44.4%","4.0%","24,251","10.9%","14.0%","34.5%","18.4%","10.0%","6.9%","5.4%","75.2%","12.3%","4,350","77.5%","11.4%","4,565","81.8%","14.0%","9,507","79.4%","13.8%","5,829","61.4%","9.3%"
"Elmore County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,817","23.1%","35.8%","34.5%","6.5%","53,964","3.1%","9.8%","35.2%","21.9%","8.7%","13.4%","8.0%","87.2%","21.4%","10,907","85.2%","19.7%","11,205","90.8%","25.8%","21,563","89.3%","21.3%","10,289","80.8%","18.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,053","33.5%","36.9%","28.1%","1.5%","25,718","3.6%","12.1%","36.0%","20.4%","7.5%","12.2%","8.2%","84.3%","20.4%","5,292","79.9%","13.8%","5,290","86.8%","20.6%","10,450","86.8%","22.2%","4,686","80.6%","23.4%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,764","11.9%","34.6%","41.4%","12.0%","28,246","2.5%","7.6%","34.5%","23.2%","9.8%","14.6%","7.8%","89.8%","22.3%","5,615","90.2%","25.2%","5,915","94.4%","30.4%","11,113","91.6%","20.4%","5,603","81.0%","14.7%"
"Escambia County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,650","33.8%","32.7%","30.6%","2.9%","25,894","7.8%","13.6%","40.3%","19.7%","6.0%","8.6%","4.0%","78.6%","12.5%","4,727","79.2%","12.2%","4,918","79.7%","13.6%","10,234","79.9%","11.7%","6,015","74.8%","13.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,027","41.9%","38.5%","18.5%","1.1%","13,331","9.5%","16.9%","41.3%","17.1%","3.9%","8.0%","3.4%","73.6%","11.4%","2,651","72.5%","12.0%","2,754","72.7%","10.0%","5,340","74.6%","10.1%","2,586","73.7%","14.8%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,623","23.7%","25.5%","45.7%","5.2%","12,563","6.0%","10.2%","39.2%","22.5%","8.3%","9.2%","4.6%","83.8%","13.8%","2,076","87.8%","12.6%","2,164","88.6%","18.1%","4,894","85.6%","13.5%","3,429","75.6%","12.2%"
"Etowah County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,061","21.1%","31.5%","43.5%","3.9%","71,636","6.0%","11.9%","32.3%","25.8%","8.5%","9.7%","5.7%","82.1%","15.4%","12,004","83.8%","16.4%","13,825","82.4%","15.6%","28,642","85.2%","16.0%","17,165","75.5%","13.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,677","25.3%","35.8%","36.0%","2.9%","33,584","5.9%","12.7%","33.9%","26.4%","6.1%","10.2%","4.9%","81.5%","15.1%","5,777","79.8%","15.6%","6,702","81.3%","14.2%","13,861","82.9%","14.2%","7,244","80.2%","17.2%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,384","16.7%","27.0%","51.5%","4.9%","38,052","6.1%","11.3%","30.9%","25.3%","10.7%","9.3%","6.4%","82.6%","15.7%","6,227","87.5%","17.2%","7,123","83.4%","17.0%","14,781","87.3%","17.7%","9,921","72.0%","10.8%"
"Fayette County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,363","13.9%","33.7%","48.1%","4.3%","11,935","8.7%","15.2%","38.1%","17.1%","7.1%","7.7%","6.2%","76.1%","13.8%","1,856","76.8%","14.2%","1,935","82.7%","13.2%","4,992","80.4%","18.0%","3,152","64.8%","7.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","675","21.8%","32.3%","45.9%","0.0%","5,761","9.7%","14.0%","40.9%","17.1%","5.5%","7.9%","4.9%","76.2%","12.7%","978","83.3%","13.8%","971","81.2%","10.6%","2,433","76.8%","16.3%","1,379","66.7%","7.3%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","688","6.1%","35.2%","50.3%","8.4%","6,174","7.8%","16.3%","35.4%","17.2%","8.6%","7.5%","7.4%","76.0%","14.8%","878","69.5%","14.6%","964","84.3%","15.8%","2,559","83.9%","19.6%","1,773","63.3%","7.5%"
"Franklin County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,800","26.6%","31.1%","40.2%","2.1%","21,162","12.7%","12.9%","36.4%","21.1%","5.9%","7.6%","3.3%","74.4%","10.9%","3,738","75.7%","11.0%","4,354","73.6%","10.5%","8,095","80.7%","11.4%","4,975","63.9%","10.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,574","35.2%","38.8%","26.0%","0.0%","10,026","12.2%","13.5%","36.6%","22.1%","5.5%","6.6%","3.4%","74.2%","10.0%","1,831","75.6%","5.6%","2,184","73.3%","8.1%","3,873","78.6%","10.5%","2,138","66.2%","15.0%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,226","15.7%","21.2%","58.3%","4.8%","11,136","13.1%","12.3%","36.3%","20.2%","6.4%","8.5%","3.2%","74.6%","11.7%","1,907","75.8%","16.1%","2,170","73.9%","12.9%","4,222","82.7%","12.2%","2,837","62.1%","7.2%"
"Geneva County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,131","26.2%","36.3%","35.6%","1.9%","18,733","8.5%","13.4%","38.5%","21.3%","7.0%","8.2%","3.1%","78.1%","11.2%","3,024","80.7%","13.9%","3,352","82.8%","14.3%","7,461","82.3%","10.8%","4,896","66.7%","8.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,111","29.4%","37.1%","31.7%","1.8%","8,925","7.7%","14.0%","40.9%","21.9%","5.1%","7.7%","2.7%","78.3%","10.3%","1,484","79.6%","13.3%","1,562","81.6%","8.8%","3,745","78.5%","10.1%","2,134","74.6%","9.8%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,020","22.7%","35.4%","39.8%","2.1%","9,808","9.3%","12.9%","36.4%","20.8%","8.6%","8.6%","3.5%","77.9%","12.1%","1,540","81.8%","14.5%","1,790","83.9%","19.1%","3,716","86.2%","11.5%","2,762","60.6%","7.0%"
"Greene County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","842","18.5%","42.6%","37.9%","1.0%","5,888","7.0%","17.9%","36.7%","21.0%","5.9%","8.1%","3.4%","75.1%","11.5%","918","72.2%","7.0%","822","85.2%","4.0%","2,661","82.1%","11.8%","1,487","58.6%","18.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","425","9.9%","63.8%","24.5%","1.9%","2,668","10.4%","20.4%","35.8%","23.6%","2.6%","5.9%","1.3%","69.2%","7.2%","436","70.2%","5.0%","402","77.1%","3.2%","1,202","78.6%","7.4%","628","45.4%","11.0%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","417","27.3%","21.1%","51.6%","0.0%","3,220","4.3%","15.8%","37.4%","18.8%","8.7%","9.9%","5.2%","79.9%","15.1%","482","74.1%","8.7%","420","92.9%","4.8%","1,459","85.0%","15.4%","859","68.3%","23.1%"
"Hale County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,352","22.2%","44.7%","31.4%","1.7%","10,364","6.3%","14.2%","40.8%","17.5%","7.2%","10.3%","3.7%","79.4%","14.0%","1,640","83.3%","14.9%","1,735","89.6%","18.5%","4,464","81.7%","11.1%","2,525","66.1%","15.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","686","28.0%","51.9%","20.1%","0.0%","4,752","7.2%","16.4%","42.2%","17.7%","4.8%","9.1%","2.6%","76.4%","11.7%","710","79.4%","6.8%","855","86.3%","14.0%","2,132","75.9%","9.0%","1,055","67.5%","18.8%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","666","16.2%","37.2%","43.1%","3.5%","5,612","5.6%","12.4%","39.5%","17.4%","9.1%","11.3%","4.6%","82.0%","15.9%","930","86.2%","21.2%","880","92.8%","22.8%","2,332","86.9%","13.0%","1,470","65.0%","13.0%"
"Henry County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,210","17.5%","44.0%","29.3%","9.1%","12,307","7.5%","13.0%","35.8%","19.3%","7.7%","9.2%","7.5%","79.5%","16.8%","1,717","88.4%","18.0%","2,272","87.4%","27.9%","5,006","78.1%","14.8%","3,312","71.7%","11.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","631","14.7%","55.9%","27.1%","2.2%","5,748","8.6%","13.0%","38.8%","18.7%","5.3%","9.1%","6.5%","78.4%","15.6%","816","91.2%","5.9%","1,137","80.8%","27.8%","2,347","77.7%","14.5%","1,448","70.5%","13.3%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","579","20.6%","31.1%","31.8%","16.6%","6,559","6.5%","13.0%","33.2%","19.8%","9.7%","9.4%","8.4%","80.5%","17.8%","901","85.8%","29.0%","1,135","94.0%","28.1%","2,659","78.5%","15.0%","1,864","72.7%","10.0%"
"Houston County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8,500","19.2%","36.6%","38.9%","5.3%","69,723","5.1%","10.6%","33.9%","21.8%","8.5%","13.1%","7.0%","84.3%","20.1%","13,223","85.5%","21.2%","13,290","87.8%","23.9%","27,474","86.6%","20.7%","15,736","76.3%","14.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,154","21.2%","40.9%","34.0%","3.9%","32,462","5.4%","10.7%","34.8%","21.2%","7.3%","13.9%","6.7%","83.9%","20.6%","6,345","84.6%","18.0%","6,306","86.9%","21.5%","13,094","85.8%","22.2%","6,717","76.6%","19.0%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,346","17.2%","32.5%","43.6%","6.7%","37,261","4.9%","10.4%","33.1%","22.4%","9.6%","12.4%","7.2%","84.7%","19.6%","6,878","86.3%","24.2%","6,984","88.5%","26.2%","14,380","87.4%","19.4%","9,019","76.1%","11.4%"
"Jackson County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,134","24.2%","29.2%","43.1%","3.5%","37,170","8.5%","16.2%","37.4%","17.9%","7.1%","7.8%","5.2%","75.3%","12.9%","5,870","80.6%","16.1%","6,813","76.9%","13.0%","15,283","78.0%","13.6%","9,204","66.2%","9.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,133","32.2%","32.5%","33.7%","1.6%","17,933","9.1%","16.2%","38.9%","16.7%","7.4%","7.7%","4.1%","74.8%","11.8%","2,961","80.5%","9.1%","3,461","73.7%","11.7%","7,441","77.0%","12.8%","4,070","67.3%","11.8%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,001","15.6%","25.6%","53.2%","5.5%","19,237","8.0%","16.3%","36.0%","19.0%","6.8%","7.8%","6.2%","75.8%","14.0%","2,909","80.7%","23.2%","3,352","80.2%","14.5%","7,842","78.9%","14.3%","5,134","65.4%","8.2%"
"Jefferson County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","62,423","15.3%","28.1%","46.5%","10.2%","443,123","3.4%","8.9%","26.6%","23.2%","7.6%","18.4%","11.9%","87.7%","30.3%","94,308","88.4%","36.1%","83,226","89.6%","35.0%","175,762","89.8%","29.3%","89,827","81.4%","22.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","30,491","19.8%","29.6%","41.6%","8.9%","203,014","3.8%","9.9%","27.1%","22.4%","6.0%","18.6%","12.2%","86.3%","30.8%","44,784","85.5%","32.7%","39,891","87.5%","32.3%","82,191","88.0%","29.8%","36,148","82.1%","29.0%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","31,932","11.0%","26.6%","51.1%","11.3%","240,109","3.0%","8.0%","26.2%","23.9%","8.9%","18.2%","11.7%","88.9%","29.9%","49,524","91.1%","39.2%","43,335","91.4%","37.5%","93,571","91.3%","28.8%","53,679","80.8%","17.2%"
"Lamar County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,062","33.3%","29.8%","35.1%","1.7%","10,112","8.3%","13.8%","38.2%","21.8%","6.5%","6.9%","4.5%","77.9%","11.4%","1,471","83.2%","16.2%","1,818","86.6%","9.7%","4,092","82.2%","12.1%","2,731","62.8%","8.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","546","46.2%","28.8%","21.8%","3.3%","4,775","8.0%","16.1%","43.0%","16.5%","5.7%","7.0%","3.7%","75.8%","10.7%","694","77.7%","19.9%","851","77.0%","3.9%","2,074","78.6%","10.8%","1,156","68.8%","9.9%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","516","19.8%","31.0%","49.2%","0.0%","5,337","8.5%","11.7%","34.0%","26.5%","7.3%","6.8%","5.2%","79.7%","12.0%","777","88.2%","13.0%","967","95.0%","14.8%","2,018","85.8%","13.5%","1,575","58.3%","7.9%"
"Lauderdale County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,579","12.4%","25.0%","57.0%","5.6%","62,760","5.0%","10.9%","33.6%","21.9%","6.4%","13.2%","8.9%","84.0%","22.1%","10,364","88.0%","24.3%","11,009","87.9%","23.4%","25,141","84.9%","22.4%","16,246","77.6%","19.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,117","15.7%","30.1%","49.3%","4.9%","29,474","4.6%","11.1%","33.8%","22.0%","5.2%","14.6%","8.8%","84.4%","23.4%","5,166","86.3%","23.5%","5,354","85.4%","22.2%","12,063","83.9%","21.4%","6,891","83.0%","27.7%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,462","9.3%","20.2%","64.2%","6.3%","33,286","5.4%","10.8%","33.4%","21.8%","7.5%","12.0%","9.0%","83.7%","21.0%","5,198","89.8%","25.2%","5,655","90.2%","24.6%","13,078","85.8%","23.3%","9,355","73.6%","13.4%"
"Lawrence County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,839","17.7%","31.7%","44.7%","5.8%","23,411","8.7%","13.2%","39.4%","21.0%","6.4%","7.7%","3.6%","78.1%","11.3%","3,831","85.2%","15.8%","4,360","82.9%","16.2%","10,010","79.5%","9.4%","5,210","66.1%","7.6%"
